"address","isb_town","isb_street","abonent_house","abonent_sub_house","latitude_speedtest","longitude_speedtest","kt_speedtest","beeline_speedtest","almatv_speedtest","kt_download_speed","kt_upload_speed","beeline_download_speed","beeline_upload_speed","almatv_download_speed","almatv_upload_speed"
"юярюмю,йемеяюпш,42,1",юярюмю,йемеяюпш,42.0,"1",51.166,71.436,1,1,1,156.09203896103904,151.38135064935068,90.206,43.195,72.72138235294118,32.96867647058824
"юярюмю,йемеяюпш,44",юярюмю,йемеяюпш,44.0,,51.166,71.436,1,1,1,156.09203896103904,151.38135064935068,90.206,43.195,72.72138235294118,32.96867647058824
"ц.ьшлйемр,мспяюр,216",ц.ьшлйемр,мспяюр,216.0,,42.359,69.63,1,1,1,62.42358333333333,70.5845,74.69789999999998,79.98168571428573,70.23475,68.34049999999999
"ц.ьшлйемр,мспяюр,215",ц.ьшлйемр,мспяюр,215.0,,42.359,69.63,1,1,1,62.42358333333333,70.5845,74.69789999999998,79.98168571428573,70.23475,68.34049999999999
"ц.ьшлйемр,мспяюр,214",ц.ьшлйемр,мспяюр,214.0,,42.359,69.63,1,1,1,62.42358333333333,70.5845,74.69789999999998,79.98168571428573,70.23475,68.34049999999999
"юярюмю,юаюъ,11",юярюмю,юаюъ,11.0,,51.166,71.407,1,1,1,90.87585714285714,107.41242857142856,66.76149019607843,65.55280392156862,266.6109565217391,226.97634782608696
"юярюмю,юаюъ,101",юярюмю,юаюъ,101.0,,51.165,71.468,1,1,1,325.0673115727003,300.3121661721068,54.89010714285713,56.38453571428572,34.072,42.937
"юярюмю,фемхя,10",юярюмю,фемхя,10.0,,51.165,71.415,1,,1,205.65921568627454,196.37203921568624,,,23.197,41.521
"юярюмю,аецекэдхмнбю,10",юярюмю,аецекэдхмнбю,10.0,,51.165,71.413,1,,1,167.608875,166.743875,,,102.194,94.983
"юярюмю,аецекэдхмнбю,11",юярюмю,аецекэдхмнбю,11.0,,51.165,71.413,1,,1,167.608875,166.743875,,,102.194,94.983
"юярюмю,аецекэдхмнбю,7",юярюмю,аецекэдхмнбю,7.0,,51.165,71.411,1,1,1,128.45796875,107.73309375000002,61.636444444444464,61.63594444444445,130.77683333333331,121.89483333333335
"юярюмю,ьюйюпхл йсдюиаепдхскш,2,4",юярюмю,ьюйюпхл йсдюиаепдхскш,2.0,"4",51.162,71.476,1,,1,105.71395454545453,102.41627272727274,,,18.195,21.659666666666666
"юярюмю,юашкюи уюмю,5,3",юярюмю,юашкюи уюмю,5.0,"3",51.162,71.474,1,,1,156.4171627906977,129.46783720930233,,,30.729499999999998,25.552
"юярюмю,ю.хлюмнбю,4",юярюмю,ю.хлюмнбю,4.0,,51.162,71.427,1,1,1,152.72872222222225,143.41855555555557,85.5974,90.2958,88.038,59.1
"ц.яелеи,среоаюебю,4",ц.яелеи,среоаюебю,4.0,,50.392,80.228,1,1,1,87.99841176470588,95.7784705882353,76.91893103448277,72.68172413793106,61.623,63.98871428571429
"ц.яелеи,15,22",Ц.яЕЛЕИ,"15",22.0,,50.392,80.236,1,,1,138.38099999999997,133.1568,,,32.61445454545455,33.722409090909096
"юярюмю,юцшаюи аюршпю,5",юярюмю,юцшаюи аюршпю,5.0,,51.162,71.427,1,1,1,152.72872222222225,143.41855555555557,85.5974,90.2958,88.038,59.1
"ц.яелеи,гюрюебхвю,31",ц.яелеи,гюрюебхвю,31.0,,50.393,80.232,1,1,1,197.26252941176475,162.51147058823528,75.9666,60.951,95.514,42.848
"ц.йнйьерюс,яюпшюпйю,9,5",ц.йнйьерюс,яюпшюпйю,9.0,"5",53.318,69.391,1,1,1,122.21707692307693,124.63046153846153,59.43730952380953,65.19742857142857,309.117,26.379
"ц.сярэ-йюлемнцнпяй,йюмшью яюроюебю,2,2",ц.сярэ-йюлемнцнпяй,йюмшью яюроюебю,2.0,"2",49.897,82.619,1,1,1,125.10528571428571,125.5547142857143,74.23466666666667,76.29338095238097,94.12,94.145
"юярюмю,пеяосакхйх,6",юярюмю,пеяосакхйх,6.0,,51.159,71.43,1,1,1,23.254160000000002,10.7502,79.535,91.807,58.196333333333335,52.510999999999996
"юярюмю,йсиьх дхмю,46",юярюмю,йсиьх дхмю,46.0,,51.158,71.492,1,1,1,167.1121323529412,150.17519117647058,71.22637499999999,74.71525,40.1714,33.500600000000006
"юярюмю,фекрнйяюм,48,1",юярюмю,фекрнйяюм,48.0,"1",51.181,71.415,1,,1,224.65842857142857,250.03964285714284,,,62.240066666666664,45.50093333333334
"юярюмю,пеяосакхйх,76",юярюмю,пеяосакхйх,76.0,,51.189,71.421,1,,1,179.41250000000002,183.90452272727273,,,36.506,24.98
"ц.рюпюг,юкюрюс,6",ц.рюпюг,юкюрюс,6.0,,42.879,71.346,1,1,1,92.1032222222222,75.28055555555555,50.38225,44.7015,107.858,90.358
"ц.сярэ-йюлемнцнпяй,ябнандш,5",ц.сярэ-йюлемнцнпяй,ябнандш,5.0,,50.013,82.68,1,,1,68.74944186046511,73.97253488372093,,,81.29833333333335,95.87599999999999
"ц.рюпюг,юкюрюс,39",ц.рюпюг,юкюрюс,39.0,,42.876,71.341,1,1,1,51.60175,64.69608333333333,18.17077777777778,26.514722222222225,30.678,28.05
"ц.спюкэяй,фюмю нпдю,4,ю",ц.спюкэяй,фюмю нпдю,4.0,ю,51.253,51.446,1,1,1,78.25485714285712,88.13642857142857,56.99465384615384,71.27392307692307,80.65,93.585
"ц.ьшлйемр,хялюхкнбю,26",ц.ьшлйемр,хялюхкнбю,26.0,,42.304,69.57,1,1,1,125.8879411764706,100.6684117647059,68.17528000000001,76.63292,25.753,22.377
"ц.ьшлйемр,оюбкнбю,2",ц.ьшлйемр,оюбкнбю,2.0,,42.304,69.57,1,1,1,125.8879411764706,100.6684117647059,68.17528000000001,76.63292,25.753,22.377
"ц.спюкэяй,йсплюмцюгш,110",ц.спюкэяй,йсплюмцюгш,110.0,,51.212,51.377,1,1,1,114.91740909090909,121.47368181818184,53.066357142857136,70.76314285714285,87.494,93.837
"ц.спюкэяй,рчкемхмю,4",ц.спюкэяй,рчкемхмю,4.0,,51.238,51.408,1,1,1,166.10825,130.84300000000002,68.34357142857144,80.9475,89.499,93.927
"ц.юйрнае,12,25",ц.юйрнае,"12",25.0,,50.278,57.196,1,1,1,110.31618181818182,110.51056818181819,47.153454545454544,49.26159090909093,20.121,10.726363636363637
"ц.сярэ-йюлемнцнпяй,?л╡пе йюьюсаюеб,18,1",Ц.сЯРЭ-йЮЛЕМНЦНПЯЙ,?ЛЁПЕ йЮЬЮСАЮЕБ,18.0,"1",49.956,82.604,1,1,1,38.752419354838715,34.78919354838709,61.993166666666674,28.6815,35.846,7.507
"ц.сярэ-йюлемнцнпяй,?л╡пе йюьюсаюеб,13",Ц.сЯРЭ-йЮЛЕМНЦНПЯЙ,?ЛЁПЕ йЮЬЮСАЮЕБ,13.0,,49.954,82.604,1,1,1,216.46743617021275,179.04651063829792,80.77698749999999,76.35435,29.89533333333333,54.799333333333344
"ц.спюкэяй,цюцюпхмю,1,1",ц.спюкэяй,цюцюпхмю,1.0,"1",51.226,51.416,1,,1,83.5766,97.19110000000002,,,69.49650000000001,59.72
"ц.сярэ-йюлемнцнпяй,йюаюмаюи аюршпю,82",ц.сярэ-йюлемнцнпяй,йюаюмаюи аюршпю,82.0,,49.947,82.648,1,1,1,94.70622727272726,94.77527272727271,67.27185,72.25139999999999,29.238999999999994,45.28258333333334
"ц.сярэ-йюлемнцнпяй,йюаюмаюи аюршпю,78",ц.сярэ-йюлемнцнпяй,йюаюмаюи аюршпю,78.0,,49.947,82.648,1,1,1,94.70622727272726,94.77527272727271,67.27185,72.25139999999999,29.238999999999994,45.28258333333334
"ц.спюкэяй,псфеимхйнбю,12",ц.спюкэяй,псфеимхйнбю,12.0,,51.239,51.451,1,1,1,187.08478999999997,184.55052,65.78979999999999,75.07620000000001,227.56657894736844,224.90378947368418
"ц.спюкэяй,псфеимхйнбю,14",ц.спюкэяй,псфеимхйнбю,14.0,,51.239,51.452,1,,1,108.68523529411766,112.94404411764704,,,184.3263333333333,188.79516666666666
"ц.сярэ-йюлемнцнпяй,йнфедсаю,54",ц.сярэ-йюлемнцнпяй,йнфедсаю,54.0,,49.942,82.663,1,,1,103.94404347826088,93.67065217391306,,,77.14812500000001,83.113625
"ц.сярэ-йюлемнцнпяй,йнфедсаю,56",ц.сярэ-йюлемнцнпяй,йнфедсаю,56.0,,49.942,82.663,1,,1,103.94404347826088,93.67065217391306,,,77.14812500000001,83.113625
"ц.сярэ-йюлемнцнпяй,фюярюп,18",ц.сярэ-йюлемнцнпяй,фюярюп,18.0,,49.907,82.614,1,1,1,128.1668888888889,161.68066666666667,78.58915384615386,82.76676923076924,324.69768,316.645
"юярюмю,фемхя,75",юярюмю,фемхя,75.0,,51.188,71.407,1,1,1,186.54149999999998,173.9753333333333,87.264,91.527,40.443,33.8575
"юярюмю,фемхя,73",юярюмю,фемхя,73.0,,51.188,71.407,1,1,1,186.54149999999998,173.9753333333333,87.264,91.527,40.443,33.8575
"ц.спюкэяй,йсмюебю,18",ц.спюкэяй,йсмюебю,18.0,,51.246,51.445,1,1,1,93.49590000000002,89.03472500000001,71.44639285714287,77.42889285714286,32.265,36.895
"юярюмю,люяйес (ашбь.лняйнбяйюъ),20,1",юярюмю,люяйес (ашбь.лняйнбяйюъ),20.0,"1",51.18,71.403,1,1,1,132.54066666666665,134.19460784313725,66.4768,57.9113,43.82925,50.7545
"юярюмю,шйшкюя дсйемскш,34,1",юярюмю,шйшкюя дсйемскш,34.0,"1",51.179,71.434,1,1,1,116.0386842105263,134.6384736842105,60.83766666666667,68.56600000000002,34.339,46.75
"юярюмю,шйшкюя дсйемскш,28,1",юярюмю,шйшкюя дсйемскш,28.0,"1",51.179,71.431,1,1,1,109.25055555555555,107.61697777777782,39.1574,45.1597,47.172,36.15
"юярюмю,анцемаюи аюршпю,54",юярюмю,анцемаюи аюршпю,54.0,,51.177,71.426,1,1,1,113.99834883720932,102.11627906976744,6.802200000000001,7.519399999999999,29.540499999999998,30.0855
"юярюмю,пеяосакхйх,43,ю",юярюмю,пеяосакхйх,43.0,ю,51.174,71.424,1,,1,87.99671428571428,61.07385714285715,,,49.04,45.513
"юярюмю,дфюмцхкэдхмю,32",юярюмю,дфюмцхкэдхмю,32.0,,51.174,71.424,1,,1,87.99671428571428,61.07385714285715,,,49.04,45.513
"юярюмю,рнпюицшпнбю яскрюмлюулсдю,2",юярюмю,рнпюицшпнбю яскрюмлюулсдю,2.0,,51.173,71.429,1,,1,152.76936111111112,169.91641666666666,,,46.10455555555556,38.799666666666674
"ц.юклюрш,апсяхкнбяйнцн,159,акнй 3",Ц.юКЛЮРШ,апсяхкнбяйнцн,159.0,акнй 3,43.245,76.876,1,1,1,178.04121585160206,180.40083136593597,65.41567605633803,69.40430985915494,33.698119999999996,25.15152
"ц.юклюрш,апсяхкнбяйнцн,159,акнй 5",Ц.юКЛЮРШ,апсяхкнбяйнцн,159.0,акнй 5,43.245,76.876,1,1,1,178.04121585160206,180.40083136593597,65.41567605633803,69.40430985915494,33.698119999999996,25.15152
